m_a_eV,squid_GeVinv
1.928791508020777896e-06,9.679994959562310738e-13
1.951148346846616293e-06,9.570545063808496559e-13
1.973764326300255428e-06,9.462349374696024461e-13
1.996642450109793374e-06,9.355393522253308203e-13
2.019785756819878467e-06,9.249663301175678788e-13
2.043197320195270527e-06,9.145144668939109740e-13
2.066880249629081940e-06,9.041823743936624223e-13
2.090837690555749843e-06,8.939686803632360519e-13
2.115072824868794891e-06,8.838720282740989102e-13
2.139588871343421664e-06,8.738910771423694530e-13
2.164389086064020431e-06,8.640245013509555371e-13
2.189476762856620668e-06,8.542709904734174568e-13
2.214855233726359433e-06,8.446292490997674627e-13
2.240527869300017970e-06,8.350979966647405240e-13
2.266498079273693014e-06,8.256759672773032349e-13
2.292769312865648563e-06,8.163619095529301228e-13
2.319345059274427713e-06,8.071545864470870000e-13
2.346228848142262270e-06,7.980527750911240659e-13
2.373424250023866098e-06,7.890552666297468315e-13
2.400934876860651595e-06,7.801608660605376280e-13
2.428764382460450616e-06,7.713683920751886281e-13
2.456916462982790237e-06,7.626766769026905351e-13
2.485394857429798321e-06,7.540845661540648652e-13
2.514203348142796490e-06,7.455909186692204231e-13
2.543345761304648260e-06,7.371946063652559311e-13
2.572825967447932223e-06,7.288945140867643697e-13
2.602647881969004651e-06,7.206895394575714552e-13
2.632815465648020122e-06,7.125785927344954187e-13
2.663332725174980912e-06,7.045605966624089483e-13
2.694203713681882057e-06,6.966344863313059735e-13
2.725432531281027893e-06,6.887992090348429771e-13
2.757023325609582764e-06,6.810537241304853910e-13
2.788980292380439744e-06,6.733970029013384454e-13
2.821307675939470909e-06,6.658280284194610246e-13
2.854009769829237506e-06,6.583457954108102573e-13
2.887090917359234552e-06,6.509493101217937155e-13
2.920555512182745261e-06,6.436375901871866854e-13
2.954407998880379827e-06,6.364096644997337872e-13
2.988652873550382432e-06,6.292645730810962793e-13
3.023294684405776334e-06,6.222013669544088903e-13
3.058338032378431778e-06,6.152191080182506940e-13
3.093787571730136731e-06,6.083168689219503585e-13
3.129648010670750519e-06,6.014937329425081938e-13
3.165924111983520818e-06,5.947487938628868039e-13
3.202620693657649979e-06,5.880811558514508255e-13
3.239742629528195378e-06,5.814899333432010781e-13
3.277294849923382168e-06,5.749742509220565248e-13
3.315282342319423268e-06,5.685332432045246270e-13
3.353710152002928776e-06,5.621660547249124655e-13
3.392583382740992040e-06,5.558718398215722398e-13
3.431907197459042598e-06,5.496497625246264449e-13
3.471686818926559579e-06,5.434989964449600713e-13
3.511927530450727740e-06,5.374187246644214661e-13
3.552634676578139464e-06,5.314081396273313154e-13
3.593813663804625307e-06,5.254664430332585495e-13
3.635469961293317292e-06,5.195928457309367517e-13
3.677609101601030474e-06,5.137865676134584965e-13
3.720236681413065301e-06,5.080468375146929906e-13
3.763358362286532808e-06,5.023728931068455293e-13
3.806979871402283974e-06,4.967639807991709876e-13
3.851107002325569028e-06,4.912193556379629185e-13
3.895745615775500812e-06,4.857382812074985732e-13
3.940901640403447568e-06,4.803200295323132471e-13
3.986581073580438997e-06,4.749638809804734630e-13
4.032789982193705460e-06,4.696691241679946958e-13
4.079534503452448557e-06,4.644350558643608272e-13
4.126820845702951947e-06,4.592609808991400794e-13
4.174655289253134888e-06,4.541462120695815596e-13
4.223044187206672164e-06,4.490900700494315217e-13
4.271993966306776970e-06,4.440918832986300226e-13
4.321511127789761941e-06,4.391509879741399537e-13
4.371602248248501995e-06,4.342667278418001022e-13
4.422273980505897255e-06,4.294384541891026807e-13
4.473533054498463085e-06,4.246655257390787471e-13
4.525386278170166693e-06,4.199473085650955722e-13
4.577840538376616169e-06,4.152831760066607197e-13
4.630902801799736631e-06,4.106725085862026990e-13
4.684580115873045307e-06,4.061146939267402914e-13
4.738879609717650886e-06,4.016091266705952424e-13
4.793808495089106764e-06,3.971552083989655071e-13
4.849374067335233355e-06,3.927523475524208443e-13
4.905583706365045857e-06,3.883999593523536263e-13
4.962444877628913673e-06,3.840974657232817697e-13
5.019965133110079395e-06,3.798442952160932010e-13
5.078152112327670320e-06,3.756398829320906931e-13
5.137013543351338897e-06,3.714836704480137794e-13
5.196557243827657437e-06,3.673751057418125716e-13
5.256791122018419569e-06,3.633136431193735629e-13
5.317723177850966182e-06,3.592987431419694156e-13
5.379361503980697620e-06,3.553298725546768391e-13
5.441714286865887343e-06,3.514065042154693287e-13
5.504789807854967299e-06,3.475281170252628491e-13
5.568596444286408679e-06,3.436941958586348631e-13
5.633142670601352205e-06,3.399042314954598536e-13
5.698437059469136196e-06,3.361577205531997639e-13
5.764488282925873171e-06,3.324541654200852828e-13
5.831305113526218997e-06,3.287930741890058171e-13
5.898896425508492959e-06,3.251739605921414226e-13
5.967271195973310562e-06,3.215963439363975806e-13
6.036438506075863713e-06,3.180597490395316989e-13
6.106407542232036346e-06,3.145637061670255586e-13
6.177187597338488473e-06,3.111077509697070409e-13
6.248788072006888211e-06,3.076914244220403527e-13
6.321218475812448520e-06,3.043142727611609884e-13
6.394488428556936328e-06,3.009758474265875206e-13
6.468607661546320942e-06,2.976757050006445025e-13
6.543586018883229431e-06,2.944134071495380670e-13
6.619433458774387721e-06,2.911885205651390519e-13
6.696160054853215108e-06,2.880006169074042323e-13
6.773775997517744987e-06,2.848492727474949304e-13
6.852291595284057289e-06,2.817340695114844058e-13
6.931717276155400522e-06,2.786545934247926652e-13
7.012063589007177030e-06,2.756104354571810712e-13
7.093341204987989700e-06,2.726011912684189360e-13
7.175560918936921209e-06,2.696264611545761538e-13
7.258733650817246552e-06,2.666858499949064325e-13
7.342870447166757580e-06,2.637789671993471736e-13
7.427982482564909622e-06,2.609054266566414047e-13
7.514081061116962114e-06,2.580648466830133528e-13
7.601177617955322483e-06,2.552568499714828312e-13
7.689283720758305013e-06,2.524810635417089330e-13
7.778411071286482598e-06,2.497371186904423466e-13
7.868571506936843969e-06,2.470246509425416623e-13
7.959777002314978321e-06,2.443433000025284277e-13
8.052039670825469458e-06,2.416927097067239139e-13
8.145371766280736623e-06,2.390725279759196833e-13
8.239785684528511741e-06,2.364824067685946789e-13
8.335293965098186867e-06,2.339220020346537961e-13
8.431909292866250367e-06,2.313909736697291829e-13
8.529644499741016815e-06,2.288889854699718202e-13
8.628512566366886081e-06,2.264157050873679917e-13
8.728526623848370479e-06,2.239708039855823848e-13
8.829699955494083082e-06,2.215539573962954847e-13
8.932045998580959975e-06,2.191648442760385951e-13
9.035578346138921401e-06,2.168031472635261573e-13
9.140310748756222539e-06,2.144685526374733500e-13
9.246257116405732772e-06,2.121607502749115939e-13
9.353431520292377225e-06,2.098794336099577837e-13
9.461848194721992990e-06,2.076242995930677668e-13
9.571521538991855843e-06,2.053950486507649813e-13
9.682466119303114621e-06,2.031913846458024253e-13
9.794696670695385670e-06,2.010130148378182126e-13
9.908228099003786902e-06,1.988596498444050980e-13
1.002307548283864352e-05,1.967310036026491786e-13
1.013925407558814327e-05,1.946267933310999320e-13
1.025677930744420885e-05,1.925467394921736107e-13
1.037566678745184839e-05,1.904905657549910773e-13
1.049593230558226690e-05,1.884579989586359961e-13
1.061759183482999109e-05,1.864487690758378729e-13
1.074066153333432268e-05,1.844626091770707300e-13
1.086515774652537261e-05,1.824992553950525990e-13
1.099109700929496075e-05,1.805584468896655449e-13
1.111849604819269957e-05,1.786399258132611846e-13
1.124737178364750747e-05,1.767434372763801248e-13
1.137774133221490236e-05,1.748687293138410399e-13
1.150962200885031106e-05,1.730155528512418264e-13
1.164303132920875528e-05,1.711836616718265612e-13
1.177798701197118017e-05,1.693728123837317699e-13
1.191450698119774729e-05,1.675827643876142763e-13
1.205260936870841401e-05,1.658132798446495765e-13
1.219231251649109383e-05,1.640641236448811993e-13
1.233363497913774693e-05,1.623350633759491753e-13
1.247659552630868525e-05,1.606258692921643409e-13
1.262121314522546164e-05,1.589363142839423388e-13
1.276750704319264449e-05,1.572661738475755790e-13
1.291549665014882683e-05,1.556152260553656016e-13
1.306520162124719865e-05,1.539832515260814854e-13
1.321664183946603801e-05,1.523700333957654313e-13
1.336983741824945150e-05,1.507753572888646938e-13
1.352480870417873994e-05,1.491990112896980153e-13
1.368157627967470456e-05,1.476407859142405579e-13
1.384016096573130180e-05,1.461004740822371024e-13
1.400058382468096031e-05,1.445778710896287723e-13
1.416286616299197323e-05,1.430727745812935349e-13
1.432702953409829647e-05,1.415849845241011867e-13
1.449309574126214897e-05,1.401143031802701253e-13
1.466108684046983036e-05,1.386605350810289121e-13
1.483102514336102853e-05,1.372234870005806314e-13
1.500293322019216613e-05,1.358029679303573729e-13
1.517683390283403825e-05,1.343987890535706202e-13
1.535275028780421074e-05,1.330107637200559531e-13
1.553070573933458561e-05,1.316387074213910620e-13
1.571072389247448757e-05,1.302824377663094398e-13
1.589282865622976477e-05,1.289417744563850638e-13
1.607704421673822041e-05,1.276165392619950337e-13
1.626339504048190734e-05,1.263065559985576675e-13
1.645190587753660725e-05,1.250116505030343675e-13
1.664260176485901990e-05,1.237316506107040658e-13
1.683550802961200778e-05,1.224663861321978548e-13
1.703065029252842484e-05,1.212156888307907493e-13
1.722805447131392224e-05,1.199793923999575459e-13
1.742774678408917511e-05,1.187573324411775840e-13
1.762975375287203833e-05,1.175493464419894181e-13
1.783410220710006182e-05,1.163552737542977485e-13
1.804081928719380908e-05,1.151749555729246094e-13
1.824993244816150412e-05,1.140082349143996625e-13
1.846146946324545750e-05,1.128549565959908738e-13
1.867545842761074234e-05,1.117149672149773888e-13
1.889192776207664550e-05,1.105881151281461285e-13
1.911090621689135813e-05,1.094742504315272026e-13
1.933242287555043403e-05,1.083732249403550629e-13
1.955650715865946999e-05,1.072848921692549171e-13
1.978318882784162123e-05,1.062091073126494564e-13
2.001249798969034841e-05,1.051457272253922821e-13
2.024446509976801623e-05,1.040946104036128862e-13
2.047912096665083489e-05,1.030556169657772120e-13
2.071649675602066959e-05,1.020286086339628978e-13
