m_a_eV,SM_Np_D_0.15mm_GeVinv,SM_Eu_D_0.15mm_GeVinv,SM_Np_D_1mm_GeVinv,SM_Eu_D_1mm_GeVinv
1.273811323186478410e-06,6.471125152507474644e-09,4.188684994045984553e-08,6.065700878207626836e-10,3.926258517357657631e-09
1.288576213185518045e-06,6.434597091931820094e-09,4.165040799939251534e-08,6.031748978597184591e-10,3.904281842657969962e-09
1.303512244681508989e-06,6.398282710389733829e-09,4.141534917816966743e-08,5.997997451831475465e-10,3.882434866999512120e-09
1.318621401394748467e-06,6.362180802623385004e-09,4.118166567529576007e-08,5.964445178972271980e-10,3.860716866106418047e-09
1.333905690039058748e-06,6.326290170438152826e-09,4.094934973499462912e-08,5.931091047727547462e-10,3.839127120004833371e-09
1.349367140588306489e-06,6.290609622663505046e-09,4.071839364695622513e-08,5.897933952414987029e-10,3.817664912999292776e-09
1.365007806546013744e-06,6.255137975114355390e-09,4.048878974608646734e-08,5.864972793925697117e-10,3.796329533649232213e-09
1.380829765218092407e-06,6.219874050548733417e-09,4.026053041223328809e-08,5.832206479688444386e-10,3.775120274745841904e-09
1.396835117988739787e-06,6.184816678633070231e-09,4.003360806996189773e-08,5.799633923633711630e-10,3.754036433288793616e-09
1.413025990599533632e-06,6.149964695899424971e-09,3.980801518827794386e-08,5.767254046158426785e-10,3.733077310463419570e-09
1.429404533431761129e-06,6.115316945710667126e-09,3.958374428040210127e-08,5.735065774090608207e-10,3.712242211617820227e-09
1.445972921792019565e-06,6.080872278219626220e-09,3.936078790350569840e-08,5.703068040654252912e-10,3.691530446240139147e-09
1.462733356201129952e-06,6.046629550331918314e-09,3.913913865847005416e-08,5.671259785434519517e-10,3.670941327936028109e-09
1.479688062686396214e-06,6.012587625668449910e-09,3.891878918964381612e-08,5.639639954343328901e-10,3.650474174406380240e-09
1.496839293077255471e-06,5.978745374527783714e-09,3.869973218459931953e-08,5.608207499584679482e-10,3.630128307424875781e-09
1.514189325304352035e-06,5.945101673848166911e-09,3.848196037388680211e-08,5.576961379620789685e-10,3.609903052816070897e-09
1.531740463702079791e-06,5.911655407171261776e-09,3.826546653079967009e-08,5.545900559137905397e-10,3.589797740433261917e-09
1.549495039314631713e-06,5.878405464605375841e-09,3.805024347113646868e-08,5.515024009012696787e-10,3.569811704136736266e-09
1.567455410205595074e-06,5.845350742786796993e-09,3.783628405295059709e-08,5.484330706278746119e-10,3.549944281772081729e-09
1.585623961771137209e-06,5.812490144846178506e-09,3.762358117633274019e-08,5.453819634093301294e-10,3.530194815148660725e-09
1.604003107056819987e-06,5.779822580370282767e-09,3.741212778316325030e-08,5.423489781704149336e-10,3.510562650018174751e-09
1.622595287078087214e-06,5.747346965367434077e-09,3.720191685688849743e-08,5.393340144416594306e-10,3.491047136053284242e-09
1.641402971144466496e-06,5.715062222229776882e-09,3.699294142227658631e-08,5.363369723561135221e-10,3.471647626826691245e-09
1.660428657187529599e-06,5.682967279699948662e-09,3.678519454520164089e-08,5.333577526460942346e-10,3.452363479790085188e-09
1.679674872092653225e-06,5.651061072833295983e-09,3.657866933239920377e-08,5.303962566399329350e-10,3.433194056253084930e-09
1.699144172034625966e-06,5.619342542965884932e-09,3.637335893125924248e-08,5.274523862588103308e-10,3.414138721362758599e-09
1.718839142817145670e-06,5.587810637675889160e-09,3.616925652957611596e-08,5.245260440135773049e-10,3.395196844083038370e-09
1.738762400216250434e-06,5.556464310751528359e-09,3.596635535534113089e-08,5.216171330015525891e-10,3.376367797173998355e-09
1.758916590327732554e-06,5.525302522155771636e-09,3.576464867651402811e-08,5.187255569034376906e-10,3.357650957171881498e-09
1.779304389918577576e-06,5.494324237991504116e-09,3.556412980079753285e-08,5.158512199801713313e-10,3.339045704368738521e-09
1.799928506782476310e-06,5.463528430467990551e-09,3.536479207542022314e-08,5.129940270698270028e-10,3.320551422792347294e-09
1.820791680099462520e-06,5.432914077866953476e-09,3.516662888691704905e-08,5.101538835845571552e-10,3.302167500186434528e-09
1.841896680799710828e-06,5.402480164508614962e-09,3.496963366090944818e-08,5.073306955075221851e-10,3.283893327990794491e-09
1.863246311931559606e-06,5.372225680718621796e-09,3.477379986189129119e-08,5.045243693898628516e-10,3.265728301321692683e-09
1.884843409033795304e-06,5.342149622793797728e-09,3.457912099300717094e-08,5.017348123476743459e-10,3.247671818952281927e-09
1.906690840512251975e-06,5.312250992970091043e-09,3.438559059584499190e-08,4.989619320590369197e-10,3.229723283293377030e-09
1.928791508020777896e-06,5.282528799389655259e-09,3.419320225022281563e-08,4.962056367610084635e-10,3.211882100373993299e-09
1.951148346846616293e-06,5.252982056067308605e-09,3.400194957397177551e-08,4.934658352466929784e-10,3.194147679822366874e-09
1.973764326300255428e-06,5.223609782858608986e-09,3.381182622272949334e-08,4.907424368622997422e-10,3.176519434846920894e-09
1.996642450109793374e-06,5.194411005427876010e-09,3.362282588973298640e-08,4.880353515042277045e-10,3.158996782217395437e-09
2.019785756819878467e-06,5.165384755215352739e-09,3.343494230560618129e-08,4.853444896161743874e-10,3.141579142246126770e-09
2.043197320195270527e-06,5.136530069405520541e-09,3.324816923815481286e-08,4.826697621862593642e-10,3.124265938769438263e-09
2.066880249629081940e-06,5.107845990896230362e-09,3.306250049216656412e-08,4.800110807441789657e-10,3.107056599129212052e-09
2.090837690555749843e-06,5.079331568265926522e-09,3.287792990919900361e-08,4.773683573583559187e-10,3.089950554154448695e-09
2.115072824868794891e-06,5.050985855743457930e-09,3.269445136738405976e-08,4.747415046331284830e-10,3.072947238143066721e-09
2.139588871343421664e-06,5.022807913175621173e-09,3.251205878121802951e-08,4.721304357059762944e-10,3.056046088843947020e-09
2.164389086064020431e-06,4.994796805997592944e-09,3.233074610137014222e-08,4.695350642447105358e-10,3.039246547438744794e-09
2.189476762856620668e-06,4.966951605201785863e-09,3.215050731448097910e-08,4.669553044447438273e-10,3.022548058524222222e-09
2.214855233726359433e-06,4.939271387306377567e-09,3.197133644295874193e-08,4.643910710263416082e-10,3.005950070094449599e-09
2.240527869300017970e-06,4.911755234326821780e-09,3.179322754479490424e-08,4.618422792319148273e-10,2.989452033523288548e-09
