m_a_eV,dipole_cann1_D_0.15mm_GeVinv,dipole_cann1_D_1mm_GeVinv
1.567455410205595074e-06,8.336485812261798178e-09,7.821608511527447133e-10
1.585623961771137209e-06,8.241991586725561954e-09,7.733404172662942709e-10
1.604003107056819987e-06,8.148580159778929249e-09,7.646210695472062981e-10
1.622595287078087214e-06,8.056239125027113343e-09,7.560016499412880476e-10
1.641402971144466496e-06,7.964956218236954978e-09,7.474810136662854758e-10
1.660428657187529599e-06,7.874719315711208055e-09,7.390580290598249052e-10
1.679674872092653225e-06,7.785516432674981574e-09,7.307315774290711907e-10
1.699144172034625966e-06,7.697335721688358529e-09,7.225005529022000989e-10
1.718839142817145670e-06,7.610165471067822630e-09,7.143638622815228780e-10
1.738762400216250434e-06,7.523994103334459195e-09,7.063204248982367546e-10
1.758916590327732554e-06,7.438810173675215586e-09,6.983691724689691708e-10
1.779304389918577576e-06,7.354602368422171002e-09,6.905090489538561324e-10
1.799928506782476310e-06,7.271359503550685858e-09,6.827390104162795703e-10
1.820791680099462520e-06,7.189070523193962422e-09,6.750580248842430367e-10
1.841896680799710828e-06,7.107724498174318633e-09,6.674650722132940222e-10
1.863246311931559606e-06,7.027310624552175166e-09,6.599591439510425255e-10
1.884843409033795304e-06,6.947818222189870543e-09,6.525392432032115599e-10
1.906690840512251975e-06,6.869236733334551850e-09,6.452043845012675766e-10
1.928791508020777896e-06,6.791555721215881909e-09,6.379535936714946273e-10
1.951148346846616293e-06,6.714764868658773852e-09,6.307859077056392392e-10
1.973764326300255428e-06,6.638853976713853821e-09,6.237003746330014096e-10
1.996642450109793374e-06,6.563812963303274488e-09,6.166960533939979808e-10
2.019785756819878467e-06,6.489631861880710585e-09,6.097720137151798893e-10
2.043197320195270527e-06,6.416300820107933622e-09,6.029273359856775415e-10
2.066880249629081940e-06,6.343810098547304030e-09,5.961611111350735932e-10
2.090837690555749843e-06,6.272150069366639591e-09,5.894724405126478156e-10
