m_a_eV,MQM_Np_D_0.15mm_GeVinv,MQM_Eu_D_0.15mm_GeVinv,MQM_Np_D_1mm_GeVinv,MQM_Eu_D_1mm_GeVinv
1.216424293857368064e-06,3.974907740267331271e-09,6.153510825677685952e-09,3.725184156702330622e-10,5.766916500650431861e-10
1.230524004359261563e-06,3.952452291698282035e-09,6.118747793452992746e-09,3.704308161362691007e-10,5.734598602547309930e-10
1.244787146187906095e-06,3.930128093958145180e-09,6.084187949188719066e-09,3.683555216685536350e-10,5.702471197817414291e-10
1.259215613694150849e-06,3.907934406090007993e-09,6.049830145817636715e-09,3.662924634570431017e-10,5.670533221220052250e-10
1.273811323186478410e-06,3.885870491475109795e-09,6.015673242988372076e-09,3.642415730996705308e-10,5.638783613830369422e-10
1.288576213185518045e-06,3.863935617808394611e-09,5.981716107027545224e-09,3.622027826000828448e-10,5.607221323004324830e-10
1.303512244681508989e-06,3.842129057075154078e-09,5.947957610903613866e-09,3.601760243654615481e-10,5.575845302344949176e-10
1.318621401394748467e-06,3.820450085525538699e-09,5.914396634187422610e-09,3.581612312042602327e-10,5.544654511667327186e-10
1.333905690039058748e-06,3.798897983651116370e-09,5.881032063015905459e-09,3.561583363240331255e-10,5.513647916964972713e-10
1.349367140588306489e-06,3.777472036161373835e-09,5.847862790055707231e-09,3.541672733292433707e-10,5.482824490375905032e-10
1.365007806546013744e-06,3.756171531960518407e-09,5.814887714467276476e-09,3.521879762190841317e-10,5.452183210148912274e-10
1.380829765218092407e-06,3.734995764122052915e-09,5.782105741865499127e-09,3.502203793853309723e-10,5.421723060610310143e-10
1.396835117988739787e-06,3.713944029867931993e-09,5.749515784287437622e-09,3.482644176101834321e-10,5.391443032130522782e-10
1.413025990599533632e-06,3.693015630542879365e-09,5.717116760152562549e-09,3.463200260641470825e-10,5.361342121091297469e-10
1.429404533431761129e-06,3.672209871593474651e-09,5.684907594230390026e-09,3.443871403039104637e-10,5.331419329852841771e-10
1.445972921792019565e-06,3.651526062543631182e-09,5.652887217602503363e-09,3.424656962702366536e-10,5.301673666721173683e-10
1.462733356201129952e-06,3.630963516972263366e-09,5.621054567627992624e-09,3.405556302858725685e-10,5.272104145915760262e-10
