m_a_eV,MQM_squid_GeVinv
1.718839142817145670e-06,1.543381662429201017e-13
1.738762400216250434e-06,1.534723647815504036e-13
1.758916590327732554e-06,1.526116603624903172e-13
1.779304389918577576e-06,1.517560244289767144e-13
1.799928506782476310e-06,1.509054285929077558e-13
1.820791680099462520e-06,1.500598446339059513e-13
1.841896680799710828e-06,1.492192444983803369e-13
1.863246311931559606e-06,1.483836002986127090e-13
1.884843409033795304e-06,1.475528843118118490e-13
1.906690840512251975e-06,1.467270689792282076e-13
1.928791508020777896e-06,1.459061269052445808e-13
1.951148346846616293e-06,1.450900308564496976e-13
1.973764326300255428e-06,1.442787537607565889e-13
1.996642450109793374e-06,1.434722687065191639e-13
2.019785756819878467e-06,1.426705489416252854e-13
2.043197320195270527e-06,1.418735678726216013e-13
2.066880249629081940e-06,1.410812990638609184e-13
2.090837690555749843e-06,1.402937162365968676e-13
2.115072824868794891e-06,1.395107932681502609e-13
2.139588871343421664e-06,1.387325041910123402e-13
2.164389086064020431e-06,1.379588231920282989e-13
2.189476762856620668e-06,1.371897246115370081e-13
2.214855233726359433e-06,1.364251829425017289e-13
2.240527869300017970e-06,1.356651728297233471e-13
2.266498079273693014e-06,1.349096690689401882e-13
2.292769312865648563e-06,1.341586466060654350e-13
2.319345059274427713e-06,1.334120805363132213e-13
2.346228848142262270e-06,1.326699461034114113e-13
2.373424250023866098e-06,1.319322186987704062e-13
2.400934876860651595e-06,1.311988738606873909e-13
2.428764382460450616e-06,1.304698872735348555e-13
2.456916462982790237e-06,1.297452347669770351e-13
2.485394857429798321e-06,1.290248923151481820e-13
2.514203348142796490e-06,1.283088360358944264e-13
2.543345761304648260e-06,1.275970421899682037e-13
2.572825967447932223e-06,1.268894871802723876e-13
2.602647881969004651e-06,1.261861475510609777e-13
2.632815465648020122e-06,1.254869999872006001e-13
2.663332725174980912e-06,1.247920213133715486e-13
2.694203713681882057e-06,1.241011884933338035e-13
2.725432531281027893e-06,1.234144786291693716e-13
2.757023325609582764e-06,1.227318689605263935e-13
2.788980292380439744e-06,1.220533368638825872e-13
2.821307675939470909e-06,1.213788598517954644e-13
2.854009769829237506e-06,1.207084155721685759e-13
2.887090917359234552e-06,1.200419818075337876e-13
2.920555512182745261e-06,1.193795364743079582e-13
2.954407998880379827e-06,1.187210576220855905e-13
2.988652873550382432e-06,1.180665234329087116e-13
3.023294684405776334e-06,1.174159122205655570e-13
3.058338032378431778e-06,1.167692024298853160e-13
3.093787571730136731e-06,1.161263726360165960e-13
3.129648010670750519e-06,1.154874015437458204e-13
3.165924111983520818e-06,1.148522679868127508e-13
3.202620693657649979e-06,1.142209509271826138e-13
3.239742629528195378e-06,1.135934294544030095e-13
3.277294849923382168e-06,1.129696827849040587e-13
3.315282342319423268e-06,1.123496902613108702e-13
3.353710152002928776e-06,1.117334313518010671e-13
3.392583382740992040e-06,1.111208856494113463e-13
3.431907197459042598e-06,1.105120328713832036e-13
3.471686818926559579e-06,1.099068528585092018e-13
3.511927530450727740e-06,1.093053255744707816e-13
3.552634676578139464e-06,1.087074311051904745e-13
3.593813663804625307e-06,1.081131496581932155e-13
3.635469961293317292e-06,1.075224615619538988e-13
3.677609101601030474e-06,1.069353472652619844e-13
3.720236681413065301e-06,1.063517873365947267e-13
3.763358362286532808e-06,1.057717624634855929e-13
3.806979871402283974e-06,1.051952534518925185e-13
3.851107002325569028e-06,1.046222412255944978e-13
3.895745615775500812e-06,1.040527068255522026e-13
3.940901640403447568e-06,1.034866314093138125e-13
3.986581073580438997e-06,1.029239962503994633e-13
4.032789982193705460e-06,1.023647827376971690e-13
4.079534503452448557e-06,1.018089723748644991e-13
4.126820845702951947e-06,1.012565467797373243e-13
4.174655289253134888e-06,1.007074876837227722e-13
4.223044187206672164e-06,1.001617769312317650e-13
4.271993966306776970e-06,9.961939647907939677e-14
4.321511127789761941e-06,9.908032839591056712e-14
4.371602248248501995e-06,9.854455486163042342e-14
4.422273980505897255e-06,9.801205816681946794e-14
4.473533054498463085e-06,9.748282071217702589e-14
4.525386278170166693e-06,9.695682500795164997e-14
4.577840538376616169e-06,9.643405367338243018e-14
4.630902801799736631e-06,9.591448943614704358e-14
4.684580115873045307e-06,9.539811513179831831e-14
4.738879609717650886e-06,9.488491370322821204e-14
4.793808495089106764e-06,9.437486820011902989e-14
4.849374067335233355e-06,9.386796177839856760e-14
4.905583706365045857e-06,9.336417769970946695e-14
4.962444877628913673e-06,9.286349933087126305e-14
5.019965133110079395e-06,9.236591014335813323e-14
5.078152112327670320e-06,9.187139371276156285e-14
5.137013543351338897e-06,9.137993371828262174e-14
5.196557243827657437e-06,9.089151394220179927e-14
5.256791122018419569e-06,9.040611826937752858e-14
5.317723177850966182e-06,8.992373068671982072e-14
5.379361503980697620e-06,8.944433528270157478e-14
5.441714286865887343e-06,8.896791624683726077e-14
5.504789807854967299e-06,8.849445786920078044e-14
5.568596444286408679e-06,8.802394453991415917e-14
5.633142670601352205e-06,8.755636074867160414e-14
5.698437059469136196e-06,8.709169108423382553e-14
